team,wins,losses
Kwetu,12,13
Rangers,15,10
Vikapu,20,8
E Nets,19,7
Junubin,8,16
SAINTS,2,2
FEBA,6,4
Fam Kenya,22,8
DB Nets,9,13
TEFFAD,1,2
Clique M,3,0
Twende,26,0
SunRise Kenya,0,2
Jericho Nets,4,13
Phenoms,29,1
Bantu,4,14
Feba,1,2
Teffad,8,10
Buruburu,10,12
Kibra,18,9
savio,6,16
KIBRA,0,3
Leos,1,18
Huruma,3,6
MooreWright,4,16
DeeMentor,12,15
BURUBURU,1,2
clique,3,1
Jericho,0,4
,0,0
PRIDE LANDERS,0,1
Huruma Dragons,9,10
Clique Mambas,13,8
leos,0,2
VIKAPU K,1,0
Pride Landers,5,14
Saints,12,8
Feba Nation,4,7
Advance,1,15
Old Guards,1,0
Rising Stars,0,1
Eastlands Conference,0,1
Uptown Confrence,1,0
